iter	Passed	Remaining
547	42693	11841
548	42766	11762
549	42844	11684
550	42914	11604
551	42996	11527
552	43075	11450
553	43136	11368
554	43208	11288
555	43283	11210
556	43352	11129
557	43412	11047
558	43475	10966
559	43551	10887
560	43625	10809
561	43686	10727
562	43756	10647
563	43837	10570
564	43914	10492
565	43980	10412
566	44052	10333
567	44140	10258
568	44212	10179
569	44291	10101
570	44365	10022
571	44432	9942
572	44505	9864
573	44577	9785
574	44646	9705
575	44722	9627
576	44788	9547
577	44853	9467
578	44929	9389
579	44995	9309
580	45072	9231
581	45149	9154
582	45227	9076
583	45308	8999
584	45386	8922
585	45462	8844
586	45535	8765
587	45603	8686
588	45679	8608
589	45755	8530
590	45852	8456
591	45931	8379
592	45999	8300
593	46081	8223
594	46153	8144
595	46239	8068
596	46315	7990
597	46392	7913
598	46469	7835
599	46543	7757
600	46619	7679
601	46699	7602
602	46781	7525
603	46854	7447
604	46929	7369
605	46992	7289
606	47053	7209
607	47133	7132
608	47226	7056
609	47308	6979
610	47383	6902
611	47479	6827
612	47565	6750
613	47645	6673
614	47722	6595
615	47793	6517
616	47868	6439
617	47942	6361
618	48020	6283
619	48091	6205
620	48167	6127
621	48245	6050
622	48321	5972
623	48409	5896
624	48485	5818
625	48564	5740
626	48647	5663
627	48729	5586
628	48828	5511
629	48900	5433
630	48975	5355
631	49054	5277
632	49130	5200
633	49211	5122
634	49282	5044
635	49357	4966
636	49423	4888
637	49487	4809
638	49569	4731
639	49648	4654
640	49730	4577
641	49817	4500
642	49894	4423
643	49973	4345
644	50054	4268
645	50128	4190
646	50200	4112
647	50275	4034
648	50352	3956
649	50430	3879
650	50495	3800
651	50572	3723
652	50644	3645
653	50709	3566
654	50780	3488
655	50858	3411
656	50938	3333
657	51016	3256
658	51093	3178
659	51172	3101
660	51245	3023
661	51314	2945
662	51389	2867
663	51467	2790
664	51543	2712
665	51616	2635
666	51691	2557
667	51752	2479
668	51820	2401
669	51887	2323
670	51966	2245
671	52048	2168
672	52119	2090
673	52203	2013
674	52268	1935
675	52341	1858
676	52411	1780
677	52482	1702
678	52557	1625
679	52622	1547
680	52715	1470
681	52800	1393
682	52873	1316
683	52954	1238
684	53024	1161
685	53096	1083
686	53173	1006
687	53251	928
688	53330	851
689	53403	773
690	53483	696
691	53557	619
692	53637	541
693	53717	464
694	53795	387
695	53872	309
696	53937	232
697	54015	154
698	54085	77
699	54158	0
