iter	Passed	Remaining
127	4459	19928
128	4494	19894
129	4530	19865
130	4566	19835
131	4610	19840
132	4648	19818
133	4673	19740
134	4702	19681
135	4737	19647
136	4774	19619
137	4811	19592
138	4846	19561
139	4880	19522
140	4913	19481
141	4948	19446
142	4984	19413
143	5018	19377
144	5054	19347
145	5085	19297
146	5119	19260
147	5148	19202
148	5182	19163
149	5205	19088
150	5238	19046
151	5273	19013
152	5318	19015
153	5355	18987
154	5390	18952
155	5425	18919
156	5459	18880
157	5493	18846
158	5527	18807
159	5562	18773
160	5596	18736
161	5630	18698
162	5666	18668
163	5700	18631
164	5733	18590
165	5767	18552
166	5800	18514
167	5835	18478
168	5869	18441
169	5903	18406
170	5938	18369
171	5974	18340
172	6011	18312
173	6047	18282
174	6082	18248
175	6116	18209
176	6148	18168
177	6181	18128
178	6213	18084
179	6246	18045
180	6280	18007
181	6315	17974
182	6348	17935
183	6383	17902
184	6417	17864
185	6451	17829
186	6485	17790
187	6517	17750
188	6550	17709
189	6582	17668
190	6615	17629
191	6647	17589
192	6680	17549
193	6716	17518
194	6750	17482
195	6783	17444
196	6817	17408
197	6852	17373
198	6886	17337
199	6920	17300
200	6953	17262
201	6993	17242
202	7027	17206
203	7061	17169
204	7096	17136
205	7130	17100
206	7164	17063
207	7198	17027
208	7233	16994
209	7268	16959
210	7302	16924
211	7337	16888
212	7376	16864
213	7416	16842
214	7452	16811
215	7490	16784
216	7530	16760
217	7568	16733
218	7606	16705
219	7640	16670
220	7674	16634
221	7708	16596
222	7743	16563
223	7777	16527
224	7812	16492
225	7846	16456
226	7876	16412
227	7910	16375
228	7941	16334
229	7974	16296
230	8007	16257
231	8042	16223
232	8077	16189
233	8112	16155
234	8145	16118
235	8180	16084
236	8216	16052
237	8252	16018
238	8288	15987
239	8323	15952
240	8360	15923
241	8398	15895
242	8435	15863
243	8471	15832
244	8506	15797
245	8547	15773
246	8582	15740
247	8616	15703
248	8649	15666
249	8682	15628
250	8721	15601
251	8770	15592
252	8824	15590
253	8859	15556
254	8909	15547
255	8945	15515
256	8985	15488
257	9021	15456
258	9056	15421
259	9091	15386
260	9127	15351
261	9161	15316
262	9194	15277
263	9228	15240
264	9261	15203
265	9294	15163
266	9326	15125
267	9361	15090
268	9399	15059
269	9432	15022
270	9467	14986
271	9502	14952
272	9538	14918
273	9572	14882
274	9603	14842
275	9637	14805
276	9667	14762
277	9695	14717
278	9726	14677
279	9756	14634
280	9789	14597
281	9821	14557
282	9853	14518
283	9886	14481
284	9923	14449
285	9960	14418
286	9999	14389
287	10037	14359
288	10069	14320
289	10101	14281
290	10136	14246
291	10168	14207
292	10199	14168
293	10229	14126
294	10259	14085
295	10291	14046
296	10323	14008
297	10355	13970
298	10388	13932
299	10420	13894
300	10450	13853
301	10483	13816
302	10516	13779
303	10550	13743
304	10584	13708
305	10617	13670
306	10649	13633
307	10680	13593
308	10708	13550
309	10736	13507
310	10767	13468
311	10799	13429
312	10828	13389
313	10859	13350
314	10891	13311
315	10922	13273
316	10953	13234
317	10985	13195
318	11017	13159
319	11052	13125
320	11087	13091
321	11122	13057
322	11157	13022
323	11193	12989
324	11228	12955
325	11261	12919
326	11293	12882
327	11326	12846
328	11362	12812
329	11397	12779
330	11431	12744
331	11466	12710
332	11500	12674
333	11534	12639
334	11568	12604
335	11603	12570
336	11637	12535
337	11670	12499
338	11704	12463
339	11739	12429
340	11773	12394
341	11806	12358
342	11837	12320
343	11867	12281
344	11896	12241
345	11927	12203
346	11962	12169
347	11993	12131
348	12024	12093
349	12055	12055
350	12086	12017
351	12117	11979
352	12148	11942
353	12177	11902
354	12209	11865
355	12237	11825
356	12267	11786
357	12296	11747
358	12328	11710
359	12361	11674
360	12393	11638
361	12424	11600
362	12454	11562
363	12485	11524
364	12517	11488
365	12548	11451
366	12579	11414
367	12612	11378
368	12643	11341
369	12672	11302
370	12703	11265
371	12735	11229
372	12768	11194
373	12799	11157
374	12830	11119
375	12860	11082
376	12892	11046
377	12923	11009
378	12955	10972
379	12984	10934
380	13016	10898
381	13047	10861
382	13078	10824
383	13109	10788
384	13141	10752
385	13172	10715
386	13205	10680
387	13236	10644
388	13268	10608
389	13300	10571
390	13332	10536
391	13366	10502
392	13397	10466
393	13427	10428
394	13458	10391
395	13489	10355
396	13521	10319
397	13551	10283
398	13582	10246
399	13614	10210
400	13647	10176
401	13679	10140
